Znacka,Corona
AL,2789
DZ,2266
AO,2092
AR,191194
AM,12198
AU,254
AT,16939
AZ,4273
BS,1294
BD,19879
BY,7403
BE,81464
BZ,617
BJ,139
BT,29
BO,2903
BA,5586
BW,2070
BR,320055
BN,1
BG,7916
BF,214
BI,29
KH,3
CM,517
CA,31992
CF,10
CO,104520
CG,67
CR,16332
HR,7921
CU,411
CY,820
CZ,1000000
ZR,292
KP,1111
DK,5712
DJ,40
DO,6867
EC,12255
EG,1741
SV,2216
GQ,25
ER,27
EE,471
ET,10318
-992,0
FJ,0
FI,2886
FR,277864
GA,84
GM,55
GE,9359
DE,65680
GH,481
GR,5528
GL,2
GT,7397
GN,764
GW,27
GY,641
HT,106
HN,8796
HU,16288
TD,162
CL,21581
CN,343
IS,1134
IN,926458
ID,58369
IR,58608
IQ,47493
IE,11930
IL,35671
IT,88912
JM,1379
JP,7388
JO,21933
KZ,3629
KE,5454
KV,1077
KW,9121
KG,4891
LA,0
LV,1364
LB,17804
LS,153
LR,29
LY,11981
LT,2541
LU,1937
MK,5026
MG,252
MW,71
MY,8117
ML,195
MR,83
MX,48441
MD,10471
MN,10
ME,3488
MA,40360
MZ,1670
MM,18231
NA,667
NP,45423
NL,92485
NC,0
NZ,31
NI,183
NE,10
NG,2095
NO,1987
OM,8683
PK,8836
GZ,6106
PA,9459
PG,41
PY,10542
PE,40506
PH,34121
PL,77626
PT,21664
PR,6618
QA,2933
RO,46323
RU,184333
RW,108
SS,116
SA,5815
SN,324
YF,2259
SL,61
SK,16696
SI,7185
SO,119
ZA,22504
ES,146628
LK,2136
SD,38
SR,189
SE,7401
CH,20159
SY,711
-995,23
TJ,558
TZ,0
TH,101
TP,1
TG,203
TT,534
TN,17089
TR,23050
UG,1782
UA,77176
AE,16801
GB,219431
US,736750
UY,386
UZ,4571
VE,8202
VN,38
-993,0
RY,14
ZM,801
ZW,262
